episode,epsilon,total_reward
315.0,0.3184894964988329,-11.0
316.0,0.31838946315438477,-10.0
317.0,0.31828942980993663,7.0
318.0,0.3181893964654885,-8.0
319.0,0.3180893631210403,-8.0
320.0,0.31798932977659217,9.0
321.0,0.31788929643214403,-10.0
322.0,0.3177892630876959,10.0
323.0,0.3176892297432477,9.0
324.0,0.31758919639879957,-9.0
325.0,0.31748916305435143,-11.0
326.0,0.3173891297099033,-8.0
327.0,0.3172890963654551,-5.0
328.0,0.31718906302100697,-10.0
329.0,0.31708902967655883,-5.0
330.0,0.3169889963321107,-10.0
331.0,0.3168889629876625,8.0
332.0,0.31678892964321437,9.0
333.0,0.31668889629876623,7.0
334.0,0.3165888629543181,9.0
335.0,0.3164888296098699,9.0
336.0,0.3163887962654218,-9.0
337.0,0.31628876292097363,-3.0
338.0,0.3161887295765255,8.0
339.0,0.3160886962320773,-9.0
340.0,0.3159886628876292,8.0
341.0,0.31588862954318103,-9.0
342.0,0.3157885961987329,-4.0
343.0,0.3156885628542847,9.0
344.0,0.3155885295098366,-9.0
345.0,0.31548849616538843,-3.0
346.0,0.3153884628209403,9.0
347.0,0.3152884294764921,-11.0
348.0,0.315188396132044,-10.0
349.0,0.31508836278759583,-8.0
350.0,0.3149883294431477,-11.0
351.0,0.31488829609869956,10.0
352.0,0.3147882627542514,7.0
353.0,0.31468822940980323,-11.0
354.0,0.3145881960653551,7.0
355.0,0.31448816272090696,-10.0
356.0,0.3143881293764588,-10.0
357.0,0.31428809603201063,-11.0
358.0,0.3141880626875625,-9.0
359.0,0.31408802934311436,8.0
360.0,0.3139879959986662,-9.0
361.0,0.31388796265421803,9.0
362.0,0.3137879293097699,-9.0
363.0,0.31368789596532176,7.0
364.0,0.3135878626208736,10.0
365.0,0.31348782927642543,-3.0
366.0,0.3133877959319773,-8.0
367.0,0.31328776258752916,8.0
368.0,0.313187729243081,-8.0
369.0,0.31308769589863283,9.0
370.0,0.3129876625541847,7.0
371.0,0.31288762920973656,-10.0
372.0,0.3127875958652884,8.0
373.0,0.31268756252084023,-8.0
374.0,0.3125875291763921,8.0
375.0,0.31248749583194396,-9.0
376.0,0.3123874624874958,-10.0
377.0,0.31228742914304763,7.0
378.0,0.3121873957985995,-8.0
379.0,0.31208736245415136,-11.0
380.0,0.3119873291097032,10.0
381.0,0.3118872957652551,10.0
382.0,0.3117872624208069,-8.0
383.0,0.31168722907635876,8.0
384.0,0.3115871957319106,-8.0
385.0,0.3114871623874625,8.0
386.0,0.3113871290430143,-9.0
387.0,0.31128709569856616,-11.0
388.0,0.311187062354118,8.0
389.0,0.3110870290096699,-10.0
390.0,0.3109869956652217,-11.0
391.0,0.31088696232077356,8.0
392.0,0.3107869289763254,-10.0
393.0,0.3106868956318773,-8.0
394.0,0.3105868622874291,-4.0
395.0,0.31048682894298096,-10.0
396.0,0.3103867955985328,-11.0
397.0,0.3102867622540847,8.0
398.0,0.3101867289096365,-10.0
399.0,0.31008669556518836,8.0
400.0,0.30998666222074023,8.0
401.0,0.3098866288762921,-8.0
402.0,0.3097865955318439,-3.0
403.0,0.30968656218739576,-11.0
404.0,0.30958652884294763,8.0
405.0,0.3094864954984995,8.0
406.0,0.3093864621540513,7.0
407.0,0.30928642880960316,7.0
408.0,0.30918639546515503,8.0
409.0,0.3090863621207069,-8.0
410.0,0.3089863287762587,8.0
411.0,0.30888629543181056,-8.0
412.0,0.30878626208736243,-10.0
413.0,0.3086862287429143,-8.0
414.0,0.3085861953984661,-3.0
415.0,0.308486162054018,7.0
416.0,0.30838612870956983,-10.0
417.0,0.3082860953651217,-10.0
418.0,0.3081860620206735,-9.0
419.0,0.3080860286762254,10.0
420.0,0.30798599533177723,10.0
421.0,0.3078859619873291,-10.0
422.0,0.3077859286428809,-4.0
423.0,0.3076858952984328,8.0
424.0,0.30758586195398463,8.0
425.0,0.3074858286095365,-8.0
426.0,0.3073857952650883,-10.0
427.0,0.3072857619206402,-4.0
428.0,0.30718572857619203,7.0
429.0,0.3070856952317439,8.0
430.0,0.30698566188729576,8.0
431.0,0.3068856285428476,-9.0
432.0,0.30678559519839943,-3.0
433.0,0.3066855618539513,10.0
434.0,0.30658552850950316,-8.0
435.0,0.306485495165055,8.0
436.0,0.30638546182060683,-9.0
437.0,0.3062854284761587,-9.0
438.0,0.30618539513171056,-3.0
439.0,0.3060853617872624,-8.0
440.0,0.30598532844281423,-9.0
441.0,0.3058852950983661,8.0
442.0,0.30578526175391796,-4.0
443.0,0.3056852284094698,-9.0
444.0,0.30558519506502163,7.0
445.0,0.3054851617205735,8.0
446.0,0.30538512837612536,8.0
447.0,0.3052850950316772,7.0
448.0,0.30518506168722903,-8.0
449.0,0.3050850283427809,-10.0
450.0,0.30498499499833276,-8.0
451.0,0.3048849616538846,7.0
452.0,0.30478492830943643,-10.0
453.0,0.3046848949649883,-10.0
454.0,0.30458486162054016,-4.0
455.0,0.304484828276092,-8.0
456.0,0.30438479493164383,-9.0
457.0,0.3042847615871957,8.0
458.0,0.30418472824274756,-11.0
459.0,0.3040846948982994,-9.0
460.0,0.3039846615538513,8.0
461.0,0.3038846282094031,-3.0
462.0,0.30378459486495496,10.0
463.0,0.3036845615205068,10.0
464.0,0.3035845281760587,-8.0
465.0,0.3034844948316105,7.0
466.0,0.30338446148716236,7.0
467.0,0.3032844281427142,-10.0
468.0,0.3031843947982661,7.0
469.0,0.3030843614538179,8.0
